run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
104,0.6880859375,37.0,3.19921875,0.026142578125,Reactive,0.0726
105,0.6880859375,40.0,4.80859375,0.026142578125,Reactive,0.0758
106,0.4244140625,37.0,4.80859375,0.026142578125,Reactive,0.09
107,0.4244140625,40.0,3.19921875,0.026142578125,Reactive,0.0712
108,0.4244140625,40.0,4.80859375,0.070322265625,Reactive,0.0896
109,0.4244140625,40.0,4.80859375,0.026142578125,Reactive,0.0798
110,0.3880859375,57.0,5.19921875,0.215322265625,Reactive,0.084
111,0.7244140625,57.0,5.19921875,0.215322265625,Reactive,0.092
112,0.3880859375,20.0,5.19921875,0.215322265625,Reactive,0.0456
113,0.3880859375,57.0,2.80859375,0.215322265625,Reactive,0.104
114,0.3880859375,57.0,5.19921875,0.171142578125,Reactive,0.082
115,0.3880859375,20.0,2.80859375,0.171142578125,Reactive,0.0504
116,0.7244140625,57.0,2.80859375,0.171142578125,Reactive,0.0914
117,0.7244140625,20.0,5.19921875,0.171142578125,Reactive,0.048
118,0.7244140625,20.0,2.80859375,0.215322265625,Reactive,0.0446
119,0.7244140625,20.0,2.80859375,0.171142578125,Reactive,0.0496
120,0.4630859375,32.0,4.69921875,0.179072265625,Reactive,0.0664
121,0.7994140625,32.0,4.69921875,0.179072265625,Reactive,0.0674
122,0.4630859375,35.0,4.69921875,0.179072265625,Reactive,0.0694
123,0.4630859375,32.0,4.30859375,0.179072265625,Reactive,0.0772
124,0.4630859375,32.0,4.69921875,0.062392578125,Reactive,0.0786
125,0.4630859375,35.0,4.30859375,0.062392578125,Reactive,0.0756
