run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
208,0.46191406250000006,27.0,5.55859375,0.269697265625,Reactive,0.062
209,0.46191406250000006,27.0,5.55859375,0.261767578125,Reactive,0.0618
210,0.6505859375,40.0,5.44921875,0.12469726562499998,Reactive,0.0792
211,0.7619140625,40.0,5.44921875,0.12469726562499998,Reactive,0.0866
212,0.6505859375,47.0,5.44921875,0.12469726562499998,Reactive,0.071
213,0.6505859375,40.0,3.55859375,0.12469726562499998,Reactive,0.0818
214,0.6505859375,40.0,5.44921875,0.116767578125,Reactive,0.0718
215,0.6505859375,47.0,3.55859375,0.116767578125,Reactive,0.085
216,0.7619140625,40.0,3.55859375,0.116767578125,Reactive,0.0792
217,0.7619140625,47.0,5.44921875,0.116767578125,Reactive,0.076
218,0.7619140625,47.0,3.55859375,0.12469726562499998,Reactive,0.0694
219,0.7619140625,47.0,3.55859375,0.116767578125,Reactive,0.0724
220,0.5005859375000001,30.0,2.44921875,0.197197265625,Reactive,0.0614
221,0.6119140625000001,30.0,2.44921875,0.197197265625,Reactive,0.0744
222,0.5005859375000001,57.0,2.44921875,0.197197265625,Reactive,0.0822
223,0.5005859375000001,30.0,4.55859375,0.197197265625,Reactive,0.0656
224,0.5005859375000001,30.0,2.44921875,0.044267578125,Reactive,0.0708
225,0.5005859375000001,57.0,4.55859375,0.044267578125,Reactive,0.0938
226,0.6119140625000001,30.0,4.55859375,0.044267578125,Reactive,0.0676
227,0.6119140625000001,57.0,2.44921875,0.044267578125,Reactive,0.0782
228,0.6119140625000001,57.0,4.55859375,0.197197265625,Reactive,0.0918
229,0.6119140625000001,57.0,4.55859375,0.044267578125,Reactive,0.1248
230,0.2005859375,50.0,4.44921875,0.052197265624999996,Reactive,0.0778
231,0.31191406250000003,50.0,4.44921875,0.052197265624999996,Reactive,0.088
232,0.2005859375,37.0,4.44921875,0.052197265624999996,Reactive,0.089
233,0.2005859375,50.0,2.55859375,0.052197265624999996,Reactive,0.0864
234,0.2005859375,50.0,4.44921875,0.189267578125,Reactive,0.0944
235,0.2005859375,37.0,2.55859375,0.189267578125,Reactive,0.0748
236,0.31191406250000003,50.0,2.55859375,0.189267578125,Reactive,0.0944
237,0.31191406250000003,37.0,4.44921875,0.189267578125,Reactive,0.0762
238,0.31191406250000003,37.0,2.55859375,0.052197265624999996,Reactive,0.0762
239,0.31191406250000003,37.0,2.55859375,0.189267578125,Reactive,0.0774
240,0.20087890625000002,35.0,3.791015625,0.1511767578125,Reactive,0.0742
241,0.5342773437500001,35.0,3.791015625,0.1511767578125,Reactive,0.0642
242,0.20087890625000002,53.0,3.791015625,0.1511767578125,Reactive,0.1038
243,0.20087890625000002,35.0,2.966796875,0.1511767578125,Reactive,0.0712
244,0.20087890625000002,35.0,3.791015625,0.18034667968749998,Reactive,0.0628
245,0.20087890625000002,53.0,2.966796875,0.18034667968749998,Reactive,0.096
246,0.5342773437500001,35.0,2.966796875,0.18034667968749998,Reactive,0.07
247,0.5342773437500001,53.0,3.791015625,0.18034667968749998,Reactive,0.0992
248,0.5342773437500001,53.0,2.966796875,0.1511767578125,Reactive,0.0808
249,0.5342773437500001,53.0,2.966796875,0.18034667968749998,Reactive,0.0796
